tradingsymbol,name,expiry,lot_size,instrument_token,timestamp,last_trade_time,bid,ask,last,change,high,low,close,buyers,sellers,volume,oi,last_quantity,buy_quantity,sell_quantity,upper_circuit,lower_circuit,atp,oi_day_high,oi_day_low
ALUMINI25DECFUT,ALUMINI,2025-12-31,1,119299335,2025-12-30 10:16:53.334072,2025-12-30 10:04:15,287.1,289.55,288.75,0,288.75,288.7,283.0,5,5,4,34,1,14,2,294.3,271.7,288.71,38,34
ALUMINIUM25DECFUT,ALUMINIUM,2025-12-31,1,119299591,2025-12-30 10:16:53.334072,2025-12-29 22:29:23,286.2,290.35,283.75,0,309.0,283.55,283.75,5,5,0,1,1,3,2,295.1,272.4,0.0,1,1
COPPER25DECFUT,COPPER,2025-12-31,1,119299847,2025-12-30 10:16:53.334072,2025-12-30 09:37:57,1238.55,1247.7,1244.0,0,1249.0,1236.05,1201.7,5,5,7,125,1,8,4,1249.75,1153.65,1241.26,126,125
LEAD25DECFUT,LEAD,2025-12-31,1,119300103,2025-12-30 10:16:53.334072,2025-12-30 09:52:05,183.5,195.1,196.0,0,196.0,190.0,189.0,5,5,14,16,1,5,3,196.55,181.45,192.35,16,16
LEADMINI25DECFUT,LEADMINI,2025-12-31,1,119300359,2025-12-30 10:16:53.334072,2025-12-29 22:34:41,175.3,185.0,178.15,0,185.25,177.0,178.15,5,5,0,2,1,4,2,185.25,171.05,0.0,2,2
ZINC25DECFUT,ZINC,2025-12-31,1,119301127,2025-12-30 10:16:53.334072,2025-12-29 23:54:27,301.5,308.75,300.5,0,320.0,299.2,300.5,5,5,0,101,1,3,6,312.5,288.5,0.0,101,101
ZINCMINI25DECFUT,ZINCMINI,2025-12-31,1,119301383,2025-12-30 10:16:53.334072,2025-12-29 23:33:09,299.75,304.95,299.45,0,318.15,295.0,299.45,5,5,0,46,1,4,2,311.4,287.5,0.0,46,46
GOLDGUINEA25DECFUT,GOLDGUINEA,2025-12-31,1,119741447,2025-12-30 10:16:53.334072,2025-12-30 09:44:27,109279.0,109944.0,109726.0,0,110750.0,109676.0,107711.0,5,5,23,63,1,11,62,110942.0,104480.0,109944.65,74,63
GOLDPETAL25DECFUT,GOLDPETAL,2025-12-31,1,119741703,2025-12-30 10:16:53.334072,2025-12-30 10:12:01,13684.0,13693.0,13711.0,0,13737.0,13615.0,13470.0,5,5,115,3892,5,95,60,13874.0,13066.0,13668.18,3892,3882
GOLDTEN25DECFUT,GOLDTEN,2025-12-31,1,121032199,2025-12-30 10:16:53.334072,2025-12-30 10:11:45,134509.0,134772.0,134765.0,0,135000.0,134261.0,133076.0,5,5,8,96,1,5,85,137068.0,129084.0,134545.62,101,96
SILVERM25DECFUT,SILVERM,2025-12-31,1,31263500,2025-12-30 10:16:53.334072,1970-01-01 05:30:00,0.0,0.0,115826.0,0,0.0,0.0,115826.0,5,5,0,0,0,0,0,247200.0,219216.0,0.0,0,0
SILVERMIC25DECFUT,SILVERMIC,2025-12-31,1,31574540,2025-12-30 10:16:53.334072,1970-01-01 05:30:00,0.0,0.0,115826.0,0,0.0,0.0,115826.0,5,5,0,0,0,0,0,247200.0,219216.0,0.0,0,0
