CE_tradingsymbol,CE_last,CE_sellers,CE_buyers,CE_close,CE_low,CE_high,CE_volume,CE_oi,CE_bid,CE_ask,strike,PE_ask,PE_bid,PE_oi,PE_volume,PE_high,PE_low,PE_close,PE_buyers,PE_sellers,PE_last,PE_tradingsymbol
NIFTY25DEC25200CE,750.4,5,5,757.9,686.4,760.0,6000,51975,757.85,760.7,25200.0,0.6,0.55,5016075,11134725,1.0,0.55,1.1,5,5,0.6,NIFTY25DEC25200PE
NIFTY25DEC25250CE,685.25,5,5,707.2,637.0,701.15,1875,11625,707.75,710.45,25250.0,0.65,0.6,1397700,5871825,1.1,0.55,1.1,5,5,0.6,NIFTY25DEC25250PE
NIFTY25DEC25300CE,649.95,5,5,656.55,583.0,652.85,7425,53550,657.75,660.5,25300.0,0.7,0.65,4385325,12312075,1.05,0.65,1.15,5,5,0.65,NIFTY25DEC25300PE
NIFTY25DEC25350CE,584.9,5,5,605.35,531.35,596.5,2400,13050,607.15,610.15,25350.0,0.75,0.7,2385075,7843575,1.05,0.7,1.15,5,5,0.75,NIFTY25DEC25350PE
NIFTY25DEC25400CE,556.2,5,5,557.5,483.2,556.2,24525,95775,558.35,560.2,25400.0,0.8,0.75,5976000,21553425,1.1,0.7,1.25,5,5,0.8,NIFTY25DEC25400PE
NIFTY25DEC25450CE,503.15,5,5,507.55,434.8,513.7,13125,25125,507.9,509.9,25450.0,0.85,0.8,1496100,6823275,1.15,0.75,1.25,5,5,0.85,NIFTY25DEC25450PE
NIFTY25DEC25500CE,461.15,5,5,454.05,381.0,466.45,398475,362550,457.9,459.2,25500.0,0.85,0.8,13103625,36260775,1.2,0.8,1.4,5,5,0.8,NIFTY25DEC25500PE
NIFTY25DEC25550CE,406.1,5,5,407.95,330.3,415.9,76275,74325,408.1,409.5,25550.0,0.9,0.85,3282225,13389900,1.4,0.8,1.55,5,5,0.9,NIFTY25DEC25550PE
NIFTY25DEC25600CE,359.4,5,5,357.4,281.0,366.9,747300,227175,358.6,359.6,25600.0,0.95,0.9,8638950,29785875,1.55,0.75,1.9,5,5,0.9,NIFTY25DEC25600PE
NIFTY25DEC25650CE,308.05,5,5,307.8,231.0,317.55,618600,110025,308.3,308.9,25650.0,1.05,1.0,5695500,23700075,1.95,1.0,2.25,5,5,1.0,NIFTY25DEC25650PE
NIFTY25DEC25700CE,259.55,5,5,259.05,181.6,267.7,6416250,926925,258.85,259.35,25700.0,1.15,1.1,10426575,52695750,2.85,1.1,3.1,5,5,1.1,NIFTY25DEC25700PE
NIFTY25DEC25750CE,208.9,5,5,210.7,133.5,217.55,8366700,525225,208.85,209.35,25750.0,1.4,1.35,10209900,89489100,4.95,1.35,4.85,5,5,1.4,NIFTY25DEC25750PE
NIFTY25DEC25800CE,160.85,5,5,163.95,90.3,170.0,49662525,3563325,161.2,161.5,25800.0,3.0,2.95,20473875,196274100,10.8,2.9,8.15,5,5,2.95,NIFTY25DEC25800PE
NIFTY25DEC25850CE,115.15,5,5,120.4,53.35,125.75,84361725,3283800,114.9,115.15,25850.0,7.15,7.1,22402050,260988900,24.5,6.8,14.5,5,5,7.05,NIFTY25DEC25850PE
NIFTY25DEC25900CE,74.3,5,5,82.65,27.8,84.0,305453925,14185200,74.5,74.65,25900.0,16.25,16.15,36521925,422637450,49.0,15.6,27.0,5,5,16.25,NIFTY25DEC25900PE
NIFTY25DEC25950CE,42.0,5,5,52.1,13.7,51.0,323354550,21819975,41.9,42.0,25950.0,34.05,33.95,17490825,211326975,85.0,32.8,46.8,5,5,33.95,NIFTY25DEC25950PE
NIFTY25DEC26000CE,21.4,5,5,31.8,7.25,27.7,296918475,34253625,21.25,21.3,26000.0,64.25,64.1,15206900,117664125,128.55,62.0,75.85,5,5,63.9,NIFTY25DEC26000PE
NIFTY25DEC26050CE,10.05,5,5,18.95,4.1,14.1,155540550,15571125,10.0,10.05,26050.0,102.7,102.5,2593575,26105250,175.0,98.3,113.05,5,5,102.6,NIFTY25DEC26050PE
NIFTY25DEC26100CE,4.8,5,5,11.7,2.75,7.4,152424075,24332025,4.75,4.8,26100.0,147.95,147.65,3438750,19570800,223.75,141.7,155.85,5,5,147.6,NIFTY25DEC26100PE
NIFTY25DEC26150CE,2.5,5,5,7.25,1.8,4.8,83872800,13367700,2.45,2.5,26150.0,194.95,194.55,701325,3114450,273.0,188.4,201.0,5,5,194.5,NIFTY25DEC26150PE
NIFTY25DEC26200CE,1.55,5,5,4.95,1.3,3.35,69280050,18425550,1.55,1.6,26200.0,244.9,244.4,2559750,3709725,322.8,236.8,248.7,5,5,245.2,NIFTY25DEC26200PE
NIFTY25DEC26250CE,1.2,5,5,3.8,1.05,2.95,36652800,9401325,1.15,1.2,26250.0,293.9,293.25,411375,505575,372.4,287.1,296.25,5,5,294.0,NIFTY25DEC26250PE
NIFTY25DEC26300CE,0.95,5,5,3.1,0.85,1.95,47581125,13789050,0.9,0.95,26300.0,343.5,342.6,1143225,718425,421.5,337.25,345.95,5,5,343.8,NIFTY25DEC26300PE
NIFTY25DEC26350CE,0.8,5,5,2.55,0.75,1.75,23132550,7169775,0.75,0.8,26350.0,394.1,393.0,161250,217650,470.4,388.45,396.0,5,5,392.0,NIFTY25DEC26350PE
NIFTY25DEC26400CE,0.75,5,5,2.15,0.7,1.6,31464600,10706550,0.7,0.75,26400.0,443.35,442.15,678675,206475,522.8,436.5,445.2,5,5,440.15,NIFTY25DEC26400PE
NIFTY25DEC26450CE,0.7,5,5,1.95,0.65,1.4,14751000,4119450,0.65,0.7,26450.0,493.95,492.75,78825,19650,574.25,488.65,495.8,5,5,490.5,NIFTY25DEC26450PE
NIFTY25DEC26500CE,0.6,5,5,1.9,0.6,1.35,42669675,13669650,0.6,0.65,26500.0,544.1,542.8,1101075,237000,621.4,534.65,545.75,5,5,541.3,NIFTY25DEC26500PE
NIFTY25DEC26550CE,0.6,5,5,1.65,0.6,1.3,10592925,3160500,0.6,0.65,26550.0,594.6,592.65,42000,8475,666.0,609.45,593.3,5,5,614.0,NIFTY25DEC26550PE
NIFTY25DEC26600CE,0.6,5,5,1.45,0.55,1.2,21709275,6269475,0.55,0.6,26600.0,644.5,643.0,127200,27150,718.85,642.85,646.0,5,5,642.85,NIFTY25DEC26600PE
NIFTY25DEC26650CE,0.5,5,5,1.4,0.5,1.2,9243900,2505825,0.5,0.55,26650.0,695.1,692.6,34950,3825,767.95,696.0,694.9,5,5,696.0,NIFTY25DEC26650PE
NIFTY25DEC26700CE,0.4,5,5,1.35,0.4,1.1,18797550,6077700,0.4,0.45,26700.0,744.05,742.5,105000,10800,821.5,740.25,746.5,5,5,740.25,NIFTY25DEC26700PE
